resource_path,relative_path,bundle_id,node_index,extension,size,sha256,manifest_sha256,manifest_hash_match,classification,classification_rule,classification_basis,stage2_validation_status
:/GraphicalEffects/OpacityMaskEffect.qml,GraphicalEffects/OpacityMaskEffect.qml,bundle_000,4,.qml,73,577c9d1d61bdeb68dad0794d50e2f0efcfd41c56d9abae9252daccc64e029635,577c9d1d61bdeb68dad0794d50e2f0efcfd41c56d9abae9252daccc64e029635,True,Qt standard GraphicalEffects,bundle_and_path,"[""RCC bundle_000 contains the deployed GraphicalEffects wrappers"", ""resource_path=:/GraphicalEffects/OpacityMaskEffect.qml""]",rcc_valid_no_v2_match
:/GraphicalEffects/DesaturateEffect.qml,GraphicalEffects/DesaturateEffect.qml,bundle_000,5,.qml,74,f5643432d2862e2e158b9c16b65427e43bb2bda90dfe0f9114d6832d114ed573,f5643432d2862e2e158b9c16b65427e43bb2bda90dfe0f9114d6832d114ed573,True,Qt standard GraphicalEffects,bundle_and_path,"[""RCC bundle_000 contains the deployed GraphicalEffects wrappers"", ""resource_path=:/GraphicalEffects/DesaturateEffect.qml""]",rcc_valid_no_v2_match
:/GraphicalEffects/DropShadowEffect.qml,GraphicalEffects/DropShadowEffect.qml,bundle_000,6,.qml,72,9a5017900885b412d0725c208cb3c716475e6668e1fc134d4663d3b06071caef,9a5017900885b412d0725c208cb3c716475e6668e1fc134d4663d3b06071caef,True,Qt standard GraphicalEffects,bundle_and_path,"[""RCC bundle_000 contains the deployed GraphicalEffects wrappers"", ""resource_path=:/GraphicalEffects/DropShadowEffect.qml""]",rcc_valid_no_v2_match
:/GraphicalEffects/GlowEffect.qml,GraphicalEffects/GlowEffect.qml,bundle_000,7,.qml,68,0cb28ab7301fda8e326ca0c1c74bbb0fb162af18ac0952020eb4537656088474,0cb28ab7301fda8e326ca0c1c74bbb0fb162af18ac0952020eb4537656088474,True,Qt standard GraphicalEffects,bundle_and_path,"[""RCC bundle_000 contains the deployed GraphicalEffects wrappers"", ""resource_path=:/GraphicalEffects/GlowEffect.qml""]",rcc_valid_no_v2_match
:/GraphicalEffects/FastBlurEffect.qml,GraphicalEffects/FastBlurEffect.qml,bundle_000,8,.qml,89,b436de50fc76b3683351d3a9311aded0cc195d0d10f49971f170fd5d96c09048,b436de50fc76b3683351d3a9311aded0cc195d0d10f49971f170fd5d96c09048,True,Qt standard GraphicalEffects,bundle_and_path,"[""RCC bundle_000 contains the deployed GraphicalEffects wrappers"", ""resource_path=:/GraphicalEffects/FastBlurEffect.qml""]",rcc_valid_no_v2_match
:/Controls/ShadowRectangle.qml,Controls/ShadowRectangle.qml,bundle_000,3,.qml,1030,1335d54e2b75e87fcee075d66c521f6473478601a1011b0c11b8fb6d6e86f12b,1335d54e2b75e87fcee075d66c521f6473478601a1011b0c11b8fb6d6e86f12b,True,Qt standard GraphicalEffects,bundle_and_path,"[""RCC bundle_000 contains the deployed GraphicalEffects wrappers"", ""resource_path=:/Controls/ShadowRectangle.qml""]",rcc_valid_no_v2_match
:/firstDiaLog.qml,firstDiaLog.qml,bundle_001,1,.qml,10147,2e4844ac87e21dc7e1091e30bb5a61491fdc54eb70814ce4f46eecfb349a6c73,2e4844ac87e21dc7e1091e30bb5a61491fdc54eb70814ce4f46eecfb349a6c73,True,SmartKey AI core,authoritative_qml_bundle_and_role,"[""QML belongs to RCC bundle_001"", ""used by AI chat/settings/dialog/theme/control flow""]",verified
:/Theme/DarkTheme.qml,Theme/DarkTheme.qml,bundle_001,25,.qml,10667,052e10375ef66f346609b63961f9c927fb52f328443480f981333facc5957af6,052e10375ef66f346609b63961f9c927fb52f328443480f981333facc5957af6,True,SmartKey AI core,authoritative_qml_bundle_and_role,"[""QML belongs to RCC bundle_001"", ""used by AI chat/settings/dialog/theme/control flow""]",rcc_valid_v2_hash_match_path_mismatch
:/Theme/LightTheme.qml,Theme/LightTheme.qml,bundle_001,26,.qml,1349,55d4f75ca1bce2c0ccb9de483b854928a14a7d8c2d4d2cb169188b960db0a76b,55d4f75ca1bce2c0ccb9de483b854928a14a7d8c2d4d2cb169188b960db0a76b,True,SmartKey AI core,authoritative_qml_bundle_and_role,"[""QML belongs to RCC bundle_001"", ""used by AI chat/settings/dialog/theme/control flow""]",rcc_valid_no_v2_match
:/Theme/NeutralTheme.qml,Theme/NeutralTheme.qml,bundle_001,27,.qml,1522,71f8f287bafa2f792af7940c1f158aec5057c2b1e098dad0b025a66a3d2eec40,71f8f287bafa2f792af7940c1f158aec5057c2b1e098dad0b025a66a3d2eec40,True,SmartKey AI core,authoritative_qml_bundle_and_role,"[""QML belongs to RCC bundle_001"", ""used by AI chat/settings/dialog/theme/control flow""]",rcc_valid_no_v2_match
